Country name,Country code,Region,Subregion,Current female head of state,Names of elected and appointed female heads of state or governments with dates,Names of elected and appointed female heads of state or governments since 1946,Number of elected and appointed female heads of state or governments since 1946,Percentage of ministerial positions held by women,Rank of ministerial positions held by women,Percentage of seats held by women in the national legislature,Rank of seats held by women in the national legislature,Percentage of female candidates in the most recent elections to the national legislature,Rank of female candidates in the most recent elections to the national legislature,Percentage of elected seats held by women in local government bodies,Rank of elected seats held by women in local government bodies,Political parity score,Political parity score rank
Afghanistan,AFG,Asia and the Pacific,South Asia,, ,,0,0.00,184,-2,-2,-2,-2,-2,-2,0,193
Albania,ALB,Europe,Southeastern Europe,, ,,0,66.67,1,35.71,43,39.76,24,43.60,12,59.8,16
Algeria,DZA,Middle East and North Africa,North Africa,, ,,0,13.33,136,6.76,174,36.82,28,17.6,99,20.5,121
Andorra,AND,Europe,Western Europe,, ,,0,50.00,1,50,1,48.39,4,41.30,18,72.8,2
Angola,AGO,Sub-Saharan Africa,Southern Africa,, ,,0,37.50,34,38.64,31,-1,-1,-1,-1,41.0,50
Antigua and Barbuda,ATG,Americas,Caribbean,, ,,0,15.38,125,22.86,108,18.87,59,66.70,1,34.2,64
Argentina,ARG,Americas,South America,,"Isabel Martinez de Peron (July 1, 1974 to March 24, 1976), Cristina Fernandez de Kirchner (December 10, 2007 to December 9, 2015)","Isabel Martinez de Peron, Cristina Fernandez de Kirchner",2,22.22,82,43.16,21,-1,-1,-1,-1,39.7,53
Armenia,ARM,Europe,Caucasus,, ,,0,15.38,125,36.45,41,-1,-1,28,71,28.6,76
Australia,AUS,Asia and the Pacific,Australasia and Pacific,,"Julia Gillard (June 24, 2010 to June 27, 2013)",Julia Gillard,1,43.48,21,44.25,18,39.90,23,33.90,38,55.6,19
Austria,AUT,Europe,Western Europe,,"Brigitte Bierlein (June 3, 2019 to January 7, 2020)",Brigitte Bierlein,1,25.00,67,42.80,24,-1,-1,26.3,79,36.2,60
Azerbaijan,AZE,Europe,Caucasus,, ,,0,0,184,18.10,133,21.00,56,38.80,29,22.4,108
Bahamas,BHS,Americas,Caribbean,, ,,0,18.75,98,20.00,124,-1,-1,-1,-1,16.0,144
Bahrain,BHR,Middle East and North Africa,Middle East,, ,,0,21.74,85,22.50,111,-1,-1,10,126,17.0,142
Bangladesh,BGD,Asia and the Pacific,South Asia,Sheikh Hasina,"Khaleda Zia (February 27, 1991 to March 30, 1996), Sheikh Hasina (June 12, 1996 to July 15, 2001), Khaleda Zia (October 1, 2001 to October 29, 2006), Sheikh Hasina (January 6, 2009 to Incumbent)","Khaleda Zia, Sheikh Hasina (current) ",2,10,156,6.69,174,-1,-1,23.40,89,28.5,77
Barbados,BRB,Americas,Caribbean,"Mia Mottley, Sandra Mason","Mia Mottley (May 25, 2018 to Incumbent)","Sandra Mason (current), Mia Mottley (current)",2,25.00,67,31.37,61,-1,-1,-1,-1,30.2,73
Belarus,BLR,Europe,Eastern Europe,, ,,0,4.17,181,35.71,43,-1,-1,48.20,5,38.3,56
Belgium,BEL,Europe,Western Europe,,"Sophie Wilmes (October 27, 2019 to October 1, 2020)",Sophie Wilmes,1,57.14,1,42.86,23,-1,-1,39,26,60.0,14
Belize,BLZ,Americas,Central America,, ,,0,11.76,145,23.91,103,14.77,70,31.5,51,21.6,114
Benin,BEN,Sub-Saharan Africa,West Africa,, ,,0,17.39,109,26.61,89,26.34,41,3.50,135,19.4,128
Bhutan,BTN,Asia and the Pacific,South Asia,, ,,0,10,156,6.94,172,7.44,83,12.80,116,8.3,176
Bolivia,BOL,Americas,South America,, ,,0,12.50,139,48.19,7,-1,-1,50.40,1,51.8,25
Bosnia and Herzegovina,BIH,Europe,Southeastern Europe,Borjana Krišto,#-2,"Željka Cvijanović, Borjana Krišto (current)",2,11.11,146,17.54,137,-1,-1,19.60,95,15.1,149
Botswana,BWA,Sub-Saharan Africa,Southern Africa,, ,,0,16.67,111,11.11,162,5.71,84,14.90,111,11.2,167
