Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Eastern and Southern,AFE,2022,30.5236270753512,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Eastern and Southern,AFE,2021,30.4747883695252,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Eastern and Southern,AFE,2020,30.1284472988289,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Eastern and Southern,AFE,2019,29.2745638200184,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Eastern and Southern,AFE,2018,28.7715701349735,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Eastern and Southern,AFE,2017,28.7059226292366,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Eastern and Southern,AFE,2016,28.9891696750903,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Eastern and Southern,AFE,2015,28.1497100685293,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Eastern and Southern,AFE,2014,25.7469077069458,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Eastern and Southern,AFE,2013,25.9150552486188,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Eastern and Southern,AFE,2012,25.0222776688647,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Eastern and Southern,AFE,2011,25.2462121212121,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Eastern and Southern,AFE,2010,22.6422447388932,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Eastern and Southern,AFE,2009,22.3808605054987,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Eastern and Southern,AFE,2008,21.4442013129103,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Eastern and Southern,AFE,2007,20.2263083451202,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Eastern and Southern,AFE,2006,19.7725458898643,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Eastern and Southern,AFE,2005,19.3059433585959,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Eastern and Southern,AFE,2004,17.3832923832924,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Eastern and Southern,AFE,2003,16.674733785092,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Eastern and Southern,AFE,2002,16.657824933687,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Eastern and Southern,AFE,2001,15.4269972451791,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Eastern and Southern,AFE,2000,14.8003602521765,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Eastern and Southern,AFE,1999,12.5151515151515,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Eastern and Southern,AFE,1998,12.7849096148808,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Eastern and Southern,AFE,1997,11.8282402528978,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Western and Central,AFW,2022,19.182782283219,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Western and Central,AFW,2021,17.824377457405,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Western and Central,AFW,2020,16.3452708907254,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Western and Central,AFW,2019,15.398773006135,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Western and Central,AFW,2018,15.3184713375796,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Western and Central,AFW,2017,15.2791068580542,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Western and Central,AFW,2016,14.84375,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Western and Central,AFW,2015,15.0849150849151,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Western and Central,AFW,2014,15.6141568355309,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Western and Central,AFW,2013,14.7058823529412,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Western and Central,AFW,2012,13.6432350718065,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Western and Central,AFW,2011,11.8590861527729,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Western and Central,AFW,2010,11.203007518797,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Western and Central,AFW,2009,11.143166245943,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Western and Central,AFW,2008,11.2031700288184,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Western and Central,AFW,2007,12.3098201936376,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Western and Central,AFW,2006,11.1844390413338,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Western and Central,AFW,2005,10.7078692058929,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Western and Central,AFW,2004,10.0685673042223,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Western and Central,AFW,2003,8.95696006203956,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Western and Central,AFW,2002,7.94306703397613,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Western and Central,AFW,2001,7.39587388088751,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Africa Western and Central,AFW,2000,6.81514476614699,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Arab World,ARB,2022,18.2462588605933,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Arab World,ARB,2021,18.22454308094,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Arab World,ARB,2020,19.5469585136167,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Arab World,ARB,2019,17.5665399239544,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Arab World,ARB,2018,19.060773480663,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Arab World,ARB,2017,18.8840212128199,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Arab World,ARB,2016,19.2756139915654,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Arab World,ARB,2015,18.7798408488064,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Arab World,ARB,2014,17.7934018388318,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Arab World,ARB,2013,17.3693086003373,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Arab World,ARB,2012,14.87204249155,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Arab World,ARB,2011,11.3285024154589,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Arab World,ARB,2010,11.919671777154,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Arab World,ARB,2009,9.90230905861457,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Arab World,ARB,2008,9.80157781496534,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Arab World,ARB,2007,9.7537652402582,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Arab World,ARB,2006,9.34959349593497,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Arab World,ARB,2005,7.03676649622596,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Arab World,ARB,2004,6.69304319155952,
