Entity,Code,Year,number_hos_men_vdem_owid,number_hos_women_vdem_owid
Africa,,1789,4,0
Africa,,1790,4,0
Africa,,1791,4,0
Africa,,1792,4,0
Africa,,1793,4,0
Africa,,1794,4,0
Africa,,1795,4,0
Africa,,1796,4,0
Africa,,1797,4,0
Africa,,1798,5,0
Africa,,1799,5,0
Africa,,1800,5,0
Africa,,1801,5,0
Africa,,1802,5,0
Africa,,1803,5,0
Africa,,1804,5,0
Africa,,1805,5,0
Africa,,1806,5,0
Africa,,1807,5,0
Africa,,1808,5,0
Africa,,1809,5,0
Africa,,1810,5,0
Africa,,1811,5,0
Africa,,1812,5,0
Africa,,1813,5,0
Africa,,1814,5,0
Africa,,1815,5,0
Africa,,1816,5,0
Africa,,1817,6,0
Africa,,1818,6,0
Africa,,1819,6,0
Africa,,1820,6,0
Africa,,1821,7,0
Africa,,1822,7,0
Africa,,1823,7,0
Africa,,1824,7,0
Africa,,1825,7,0
Africa,,1826,7,0
Africa,,1827,7,0
Africa,,1828,6,1
Africa,,1829,6,1
Africa,,1830,6,1
Africa,,1831,6,1
Africa,,1832,6,1
Africa,,1833,6,1
Africa,,1834,6,1
Africa,,1835,5,1
Africa,,1836,5,1
Africa,,1837,5,1
Africa,,1838,5,1
Africa,,1839,5,1
Africa,,1840,5,1
Africa,,1841,5,1
Africa,,1842,5,1
Africa,,1843,5,1
Africa,,1844,5,1
Africa,,1845,5,1
Africa,,1846,5,1
Africa,,1847,5,1
Africa,,1848,5,1
Africa,,1849,5,1
Africa,,1850,5,1
Africa,,1851,5,1
Africa,,1852,5,1
Africa,,1853,5,1
Africa,,1854,5,1
Africa,,1855,5,1
Africa,,1856,5,1
Africa,,1857,5,1
Africa,,1858,5,1
Africa,,1859,5,1
Africa,,1860,5,1
Africa,,1861,6,0
Africa,,1862,6,0
Africa,,1863,5,1
Africa,,1864,5,1
Africa,,1865,5,1
Africa,,1866,5,1
Africa,,1867,5,1
Africa,,1868,5,1
Africa,,1869,5,1
Africa,,1870,5,1
Africa,,1871,5,1
Africa,,1872,5,1
Africa,,1873,5,1
Africa,,1874,5,1
Africa,,1875,5,1
Africa,,1876,5,1
Africa,,1877,5,1
Africa,,1878,5,1
Africa,,1879,5,1
Africa,,1880,5,1
Africa,,1881,5,1
Africa,,1882,5,1
Africa,,1883,5,1
Africa,,1884,5,1
Africa,,1885,5,1
Africa,,1886,5,1
Africa,,1887,5,1
Africa,,1888,5,1
Africa,,1889,5,1
Africa,,1890,5,1
Africa,,1891,5,1
Africa,,1892,5,1
Africa,,1893,5,1
Africa,,1894,4,1
Africa,,1895,4,1
Africa,,1896,4,1
Africa,,1897,5,0
Africa,,1898,5,0
Africa,,1899,5,0
Africa,,1900,36,1
Africa,,1901,36,1
Africa,,1902,37,1
Africa,,1903,39,1
Africa,,1904,41,1
Africa,,1905,41,1
Africa,,1906,41,1
Africa,,1907,41,1
Africa,,1908,41,1
Africa,,1909,41,1
Africa,,1910,42,1
Africa,,1911,44,1
Africa,,1912,44,1
Africa,,1913,44,1
Africa,,1914,45,1
Africa,,1915,45,1
Africa,,1916,47,2
Africa,,1917,47,2
Africa,,1918,47,2
Africa,,1919,48,2
Africa,,1920,50,2
Africa,,1921,51,1
Africa,,1922,52,1
Africa,,1923,52,1
Africa,,1924,52,1
Africa,,1925,52,1
Africa,,1926,52,1
Africa,,1927,52,1
Africa,,1928,52,1
Africa,,1929,52,1
Africa,,1930,53,0
Africa,,1931,53,0
Africa,,1932,52,0
Africa,,1933,52,0
Africa,,1934,52,0
Africa,,1935,52,0
Africa,,1936,52,0
Africa,,1937,52,0
Africa,,1938,52,0
Africa,,1939,52,0
Africa,,1940,52,0
Africa,,1941,51,1
Africa,,1942,50,1
Africa,,1943,50,1
Africa,,1944,50,1
Africa,,1945,50,1
Africa,,1946,51,1
Africa,,1947,52,1
Africa,,1948,52,1
Africa,,1949,52,1
Africa,,1950,52,1
Africa,,1951,53,1
Africa,,1952,53,1
Africa,,1953,53,1
Africa,,1954,53,1
Africa,,1955,53,1
Africa,,1956,52,1
Africa,,1957,52,1
Africa,,1958,53,1
Africa,,1959,53,1
Africa,,1960,53,0
Africa,,1961,54,0
Africa,,1962,54,0
Africa,,1963,54,0
Africa,,1964,53,0
Africa,,1965,54,0
Africa,,1966,54,0
Africa,,1967,54,0
Africa,,1968,54,0
Africa,,1969,54,0
Africa,,1970,53,1
Africa,,1971,54,0
Africa,,1972,54,0
Africa,,1973,54,0
Africa,,1974,54,0
Africa,,1975,54,0
Africa,,1976,54,0
Africa,,1977,54,0
Africa,,1978,54,0
Africa,,1979,54,0
Africa,,1980,54,0
Africa,,1981,54,0
Africa,,1982,53,1
Africa,,1983,53,1
Africa,,1984,53,1
Africa,,1985,53,1
Africa,,1986,54,0
Africa,,1987,54,0
Africa,,1988,54,0
Africa,,1989,54,0
Africa,,1990,54,0
Africa,,1991,55,0
Africa,,1992,55,0
Africa,,1993,54,1
Africa,,1994,55,0
Africa,,1995,55,0
Africa,,1996,54,1
Africa,,1997,55,0
Africa,,1998,55,0
Africa,,1999,55,0
Africa,,2000,55,0
Africa,,2001,55,0
Africa,,2002,55,0
Africa,,2003,55,0
Africa,,2004,55,0
Africa,,2005,55,0
Africa,,2006,54,1
Africa,,2007,54,1
Africa,,2008,54,1
Africa,,2009,54,1
Africa,,2010,54,1
Africa,,2011,55,1
Africa,,2012,53,3
Africa,,2013,54,2
Africa,,2014,54,2
Africa,,2015,53,3
Africa,,2016,54,2
Africa,,2017,54,2
Africa,,2018,55,1
Africa,,2019,55,1
Africa,,2020,55,1
Africa,,2021,54,2
Africa,,2022,54,2
Asia,,1789,13,0
Asia,,1790,13,0
Asia,,1791,13,0
Asia,,1792,13,0
Asia,,1793,13,0
Asia,,1794,13,0
Asia,,1795,13,0
Asia,,1796,13,0
Asia,,1797,13,0
Asia,,1798,13,0
Asia,,1799,12,1
Asia,,1800,12,2
Asia,,1801,12,2
Asia,,1802,13,2
Asia,,1803,13,2
Asia,,1804,15,0
Asia,,1805,15,0
Asia,,1806,14,1
Asia,,1807,14,1
Asia,,1808,14,1
Asia,,1809,13,1
Asia,,1810,14,1
Asia,,1811,14,1
Asia,,1812,14,1
Asia,,1813,14,1
Asia,,1814,14,1
Asia,,1815,14,1
Asia,,1816,14,1
Asia,,1817,14,1
Asia,,1818,14,1
Asia,,1819,13,1
Asia,,1820,13,1
Asia,,1821,13,1
Asia,,1822,14,1
Asia,,1823,14,1
Asia,,1824,14,1
Asia,,1825,14,1
Asia,,1826,14,1
Asia,,1827,14,1
Asia,,1828,14,1
Asia,,1829,14,1
Asia,,1830,14,1
Asia,,1831,14,1
Asia,,1832,15,0
Asia,,1833,15,0
Asia,,1834,15,0
Asia,,1835,15,0
Asia,,1836,15,0
Asia,,1837,15,0
Asia,,1838,15,0
Asia,,1839,15,0
Asia,,1840,15,0
Asia,,1841,15,0
Asia,,1842,15,0
Asia,,1843,14,1
Asia,,1844,14,1
Asia,,1845,14,1
Asia,,1846,15,0
Asia,,1847,15,0
Asia,,1848,15,0
Asia,,1849,14,1
Asia,,1850,14,1
Asia,,1851,13,1
Asia,,1852,14,0
Asia,,1853,14,0
Asia,,1854,14,0
Asia,,1855,14,0
Asia,,1856,14,0
Asia,,1857,14,0
Asia,,1858,14,0
Asia,,1859,14,0
Asia,,1860,14,0
Asia,,1861,13,0
Asia,,1862,13,0
Asia,,1863,13,0
Asia,,1864,13,0
Asia,,1865,13,0
Asia,,1866,12,0
Asia,,1867,13,0
Asia,,1868,13,0
Asia,,1869,13,0
Asia,,1870,13,0
Asia,,1871,13,0
Asia,,1872,13,0
Asia,,1873,13,0
Asia,,1874,13,0
Asia,,1875,13,1
Asia,,1876,13,1
Asia,,1877,13,1
Asia,,1878,13,1
Asia,,1879,13,1
Asia,,1880,13,1
Asia,,1881,12,2
Asia,,1882,12,2
Asia,,1883,12,2
Asia,,1884,11,2
Asia,,1885,12,2
Asia,,1886,12,2
Asia,,1887,12,2
Asia,,1888,12,2
Asia,,1889,12,1
Asia,,1890,12,1
Asia,,1891,12,1
Asia,,1892,12,1
Asia,,1893,13,0
Asia,,1894,13,0
Asia,,1895,13,0
Asia,,1896,13,0
Asia,,1897,14,0
Asia,,1898,13,1
Asia,,1899,13,1
Asia,,1900,29,1
Asia,,1901,29,1
Asia,,1902,29,1
Asia,,1903,29,1
Asia,,1904,29,1
Asia,,1905,29,1
Asia,,1906,29,1
Asia,,1907,29,1
Asia,,1908,30,0
Asia,,1909,30,0
Asia,,1910,30,0
Asia,,1911,30,1
Asia,,1912,30,1
Asia,,1913,30,1
Asia,,1914,30,1
Asia,,1915,30,1
Asia,,1916,30,1
Asia,,1917,30,1
Asia,,1918,34,0
Asia,,1919,35,0
Asia,,1920,35,0
Asia,,1921,34,0
Asia,,1922,36,0
Asia,,1923,36,0
Asia,,1924,36,0
Asia,,1925,36,0
Asia,,1926,36,0
Asia,,1927,36,0
Asia,,1928,36,0
Asia,,1929,36,0
Asia,,1930,36,0
Asia,,1931,36,0
Asia,,1932,36,0
Asia,,1933,36,0
Asia,,1934,36,0
Asia,,1935,36,0
Asia,,1936,36,0
Asia,,1937,36,0
Asia,,1938,36,0
Asia,,1939,36,0
Asia,,1940,36,0
Asia,,1941,36,0
Asia,,1942,36,0
Asia,,1943,36,0
Asia,,1944,36,0
Asia,,1945,38,0
Asia,,1946,38,0
Asia,,1947,39,0
Asia,,1948,42,0
Asia,,1949,41,0
Asia,,1950,40,0
Asia,,1951,40,0
Asia,,1952,40,0
Asia,,1953,40,0
Asia,,1954,40,0
Asia,,1955,40,0
Asia,,1956,40,0
Asia,,1957,40,0
Asia,,1958,40,0
Asia,,1959,40,0
Asia,,1960,40,0
Asia,,1961,40,0
Asia,,1962,40,0
Asia,,1963,40,0
Asia,,1964,40,0
Asia,,1965,40,0
Asia,,1966,40,0
Asia,,1967,40,0
Asia,,1968,40,0
Asia,,1969,40,0
Asia,,1970,40,0
Asia,,1971,42,0
Asia,,1972,42,0
Asia,,1973,42,0
Asia,,1974,42,0
Asia,,1975,42,0
Asia,,1976,41,0
Asia,,1977,41,0
Asia,,1978,41,0
Asia,,1979,41,0
Asia,,1980,41,0
Asia,,1981,41,0
Asia,,1982,41,0
Asia,,1983,41,0
Asia,,1984,41,0
Asia,,1985,41,0
Asia,,1986,40,1
Asia,,1987,40,1
Asia,,1988,40,1
Asia,,1989,40,1
Asia,,1990,48,1
Asia,,1991,47,1
Asia,,1992,48,0
Asia,,1993,48,0
Asia,,1994,47,1
Asia,,1995,47,1
Asia,,1996,47,1
Asia,,1997,47,1
Asia,,1998,47,1
Asia,,1999,47,1
Asia,,2000,47,1
Asia,,2001,45,3
Asia,,2002,45,3
Asia,,2003,45,3
Asia,,2004,46,2
Asia,,2005,47,1
Asia,,2006,47,1
Asia,,2007,46,3
Asia,,2008,47,2
Asia,,2009,47,2
Asia,,2010,47,2
Asia,,2011,48,1
Asia,,2012,49,0
Asia,,2013,48,1
Asia,,2014,48,1
Asia,,2015,47,2
Asia,,2016,47,2
Asia,,2017,45,4
Asia,,2018,44,5
Asia,,2019,44,5
Asia,,2020,44,5
Asia,,2021,44,5
Asia,,2022,45,4
Europe,,1789,26,2
Europe,,1790,28,2
Europe,,1791,27,2
Europe,,1792,27,2
Europe,,1793,28,2
Europe,,1794,27,2
Europe,,1795,26,2
Europe,,1796,26,1
Europe,,1797,26,1
Europe,,1798,24,1
Europe,,1799,27,0
Europe,,1800,25,0
Europe,,1801,27,0
Europe,,1802,27,0
Europe,,1803,26,1
Europe,,1804,27,1
Europe,,1805,28,1
Europe,,1806,28,1
Europe,,1807,29,1
Europe,,1808,29,0
Europe,,1809,30,0
Europe,,1810,29,0
Europe,,1811,26,0
Europe,,1812,26,0
Europe,,1813,30,0
Europe,,1814,32,0
Europe,,1815,34,0
Europe,,1816,35,0
Europe,,1817,35,0
Europe,,1818,35,0
Europe,,1819,35,0
Europe,,1820,35,0
Europe,,1821,35,0
Europe,,1822,36,0
Europe,,1823,36,0
Europe,,1824,36,0
Europe,,1825,36,0
Europe,,1826,35,1
Europe,,1827,34,1
Europe,,1828,36,0
Europe,,1829,36,0
Europe,,1830,36,0
Europe,,1831,37,0
Europe,,1832,36,0
Europe,,1833,36,1
Europe,,1834,35,2
Europe,,1835,35,2
Europe,,1836,35,2
Europe,,1837,34,3
Europe,,1838,34,3
Europe,,1839,33,3
Europe,,1840,35,2
Europe,,1841,35,2
Europe,,1842,35,2
Europe,,1843,34,3
Europe,,1844,34,3
Europe,,1845,34,3
Europe,,1846,34,3
Europe,,1847,34,3
Europe,,1848,34,3
Europe,,1849,33,3
Europe,,1850,34,3
Europe,,1851,34,3
Europe,,1852,34,3
Europe,,1853,35,2
Europe,,1854,35,2
Europe,,1855,35,2
Europe,,1856,34,2
Europe,,1857,35,2
Europe,,1858,35,2
Europe,,1859,35,2
Europe,,1860,34,2
Europe,,1861,32,2
Europe,,1862,32,2
Europe,,1863,32,2
Europe,,1864,32,2
Europe,,1865,32,2
Europe,,1866,32,2
Europe,,1867,29,2
Europe,,1868,22,1
Europe,,1869,22,1
Europe,,1870,22,1
Europe,,1871,22,1
Europe,,1872,19,1
Europe,,1873,19,1
Europe,,1874,19,1
Europe,,1875,19,1
Europe,,1876,19,1
Europe,,1877,19,1
Europe,,1878,20,1
Europe,,1879,20,1
Europe,,1880,20,1
Europe,,1881,20,1
Europe,,1882,20,1
Europe,,1883,20,1
Europe,,1884,20,1
Europe,,1885,19,2
Europe,,1886,18,2
Europe,,1887,18,2
Europe,,1888,18,2
Europe,,1889,18,2
Europe,,1890,17,3
Europe,,1891,17,3
Europe,,1892,17,3
Europe,,1893,18,3
Europe,,1894,18,3
Europe,,1895,18,3
Europe,,1896,18,3
Europe,,1897,18,3
Europe,,1898,18,3
Europe,,1899,18,3
Europe,,1900,21,3
Europe,,1901,22,2
Europe,,1902,23,1
Europe,,1903,23,1
Europe,,1904,23,1
Europe,,1905,23,1
Europe,,1906,23,1
Europe,,1907,23,1
Europe,,1908,23,1
Europe,,1909,23,1
Europe,,1910,23,1
Europe,,1911,23,1
Europe,,1912,23,2
Europe,,1913,23,2
Europe,,1914,24,1
Europe,,1915,24,1
Europe,,1916,24,1
Europe,,1917,24,1
Europe,,1918,26,2
Europe,,1919,27,2
Europe,,1920,28,2
Europe,,1921,28,2
Europe,,1922,28,2
Europe,,1923,28,2
Europe,,1924,28,2
Europe,,1925,28,2
Europe,,1926,28,2
Europe,,1927,27,2
Europe,,1928,27,2
Europe,,1929,27,2
Europe,,1930,28,2
Europe,,1931,28,2
Europe,,1932,28,2
Europe,,1933,28,2
Europe,,1934,28,2
Europe,,1935,28,2
Europe,,1936,28,2
Europe,,1937,27,2
Europe,,1938,27,2
Europe,,1939,27,2
Europe,,1940,26,0
Europe,,1941,27,0
Europe,,1942,27,0
Europe,,1943,27,0
Europe,,1944,27,1
Europe,,1945,24,2
Europe,,1946,24,2
Europe,,1947,24,2
Europe,,1948,24,2
Europe,,1949,26,2
Europe,,1950,26,2
Europe,,1951,26,2
Europe,,1952,25,3
Europe,,1953,25,3
Europe,,1954,25,3
Europe,,1955,25,3
Europe,,1956,25,3
Europe,,1957,25,3
Europe,,1958,25,3
Europe,,1959,25,3
Europe,,1960,25,3
Europe,,1961,25,3
Europe,,1962,25,3
Europe,,1963,25,3
Europe,,1964,26,2
Europe,,1965,26,2
Europe,,1966,26,2
Europe,,1967,26,2
Europe,,1968,26,2
Europe,,1969,26,2
Europe,,1970,26,2
Europe,,1971,26,2
Europe,,1972,25,3
Europe,,1973,25,3
Europe,,1974,25,3
Europe,,1975,25,3
Europe,,1976,25,3
Europe,,1977,25,3
Europe,,1978,25,3
Europe,,1979,25,3
Europe,,1980,24,4
Europe,,1981,24,4
Europe,,1982,23,5
Europe,,1983,23,5
Europe,,1984,23,5
Europe,,1985,23,5
Europe,,1986,23,5
Europe,,1987,24,4
Europe,,1988,24,4
Europe,,1989,26,4
Europe,,1990,30,6
Europe,,1991,32,5
Europe,,1992,33,5
Europe,,1993,34,5
Europe,,1994,34,5
Europe,,1995,34,5
Europe,,1996,35,4
Europe,,1997,35,4
Europe,,1998,36,4
Europe,,1999,35,6
Europe,,2000,35,6
Europe,,2001,35,6
Europe,,2002,35,6
Europe,,2003,34,7
Europe,,2004,35,6
Europe,,2005,35,6
Europe,,2006,35,6
Europe,,2007,35,6
Europe,,2008,36,5
Europe,,2009,35,6
Europe,,2010,34,7
Europe,,2011,34,7
Europe,,2012,35,6
Europe,,2013,37,4
Europe,,2014,36,5
Europe,,2015,34,7
Europe,,2016,34,7
Europe,,2017,34,7
Europe,,2018,35,6
Europe,,2019,36,5
Europe,,2020,34,7
Europe,,2021,35,6
Europe,,2022,35,6
North America,,1789,6,0
North America,,1790,6,0
North America,,1791,6,0
North America,,1792,6,0
North America,,1793,6,0
North America,,1794,6,0
North America,,1795,6,0
North America,,1796,6,0
North America,,1797,6,0
North America,,1798,6,0
North America,,1799,6,0
North America,,1800,6,0
North America,,1801,6,0
North America,,1802,6,0
North America,,1803,6,0
North America,,1804,6,0
North America,,1805,6,0
North America,,1806,6,0
North America,,1807,6,0
North America,,1808,6,0
North America,,1809,6,0
North America,,1810,6,0
North America,,1811,6,0
North America,,1812,6,0
North America,,1813,6,0
North America,,1814,6,0
North America,,1815,6,0
North America,,1816,6,0
North America,,1817,6,0
North America,,1818,6,0
North America,,1819,6,0
North America,,1820,6,0
North America,,1821,6,0
North America,,1822,6,0
North America,,1823,4,0
North America,,1824,4,0
North America,,1825,5,0
North America,,1826,5,0
North America,,1827,5,0
North America,,1828,5,0
North America,,1829,5,0
North America,,1830,5,0
North America,,1831,5,0
North America,,1832,5,0
North America,,1833,5,0
North America,,1834,5,0
North America,,1835,5,0
North America,,1836,5,0
North America,,1837,5,0
North America,,1838,9,0
North America,,1839,9,0
North America,,1840,9,0
North America,,1841,10,0
North America,,1842,10,0
North America,,1843,10,0
North America,,1844,11,0
North America,,1845,11,0
North America,,1846,11,0
North America,,1847,10,0
North America,,1848,11,0
North America,,1849,11,0
North America,,1850,11,0
North America,,1851,11,0
North America,,1852,11,0
North America,,1853,11,0
North America,,1854,11,0
North America,,1855,11,0
North America,,1856,11,0
North America,,1857,11,0
North America,,1858,11,0
North America,,1859,11,0
North America,,1860,11,0
North America,,1861,11,0
North America,,1862,11,0
North America,,1863,10,0
North America,,1864,11,0
North America,,1865,11,0
North America,,1866,11,0
North America,,1867,11,0
North America,,1868,11,0
North America,,1869,11,0
North America,,1870,11,0
North America,,1871,11,0
North America,,1872,11,0
North America,,1873,11,0
North America,,1874,11,0
North America,,1875,11,0
North America,,1876,11,0
North America,,1877,11,0
North America,,1878,11,0
North America,,1879,11,0
North America,,1880,11,0
North America,,1881,11,0
North America,,1882,11,0
North America,,1883,11,0
North America,,1884,11,0
North America,,1885,11,0
North America,,1886,11,0
